                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2749,                 2.2476,                 2.7722,                0.43642,                0.31863,                0.29211,                0.12774,                 1.3193,                 22.615,                 1.8703,              0.0006536,              0.0006536,              0.0006536
                     36,                 2.2799,                 2.4003,                 2.8275,                0.32116,                0.38235,                0.25365,                0.10839,                 1.3303,                 23.288,                 1.8784,               0.000614,               0.000614,               0.000614
                     37,                 2.1603,                 2.2092,                 2.7195,                0.32738,                0.47059,                0.31264,                0.14837,                 1.3002,                 34.298,                 1.8329,              0.0005744,              0.0005744,              0.0005744
                     38,                 2.2293,                 2.3589,                 2.7675,                0.37516,                0.46569,                0.34826,                0.16205,                 1.3054,                 47.272,                  1.816,              0.0005348,              0.0005348,              0.0005348
                     39,                  2.149,                 2.3291,                 2.7009,                0.31064,                0.45725,                0.32246,                0.15267,                  1.318,                 54.828,                 1.8097,              0.0004952,              0.0004952,              0.0004952
                     40,                  2.294,                 2.2313,                 2.8359,                0.40482,                0.43627,                0.32698,                0.15737,                 1.3027,                 41.372,                  1.773,              0.0004556,              0.0004556,              0.0004556
                     41,                  2.045,                 2.6936,                 2.7026,                0.38329,                0.44608,                0.34169,                0.17247,                 1.2938,                 36.196,                 1.7604,               0.000416,               0.000416,               0.000416
                     42,                 2.0936,                 2.7181,                 2.6908,                0.37304,                0.41708,                0.35028,                0.17493,                 1.2864,                  33.47,                 1.7577,              0.0003764,              0.0003764,              0.0003764
                     43,                 2.0886,                 2.5502,                 2.7558,                0.39955,                0.41667,                0.35542,                0.16774,                 1.2845,                 30.978,                 1.7585,              0.0003368,              0.0003368,              0.0003368
                     44,                 2.0405,                 2.4046,                 2.6388,                0.42317,                0.39706,                0.37682,                 0.1773,                  1.255,                 27.688,                 1.7245,              0.0002972,              0.0002972,              0.0002972
                     45,                 1.9535,                 2.4956,                  2.646,                0.41597,                0.37707,                0.37378,                0.18576,                 1.2285,                 26.491,                 1.6985,              0.0002576,              0.0002576,              0.0002576
                     46,                  1.944,                 2.3846,                 2.5596,                0.43367,                0.37162,                0.38013,                0.19498,                 1.2117,                 24.907,                  1.683,               0.000218,               0.000218,               0.000218
                     47,                 1.9505,                 2.4875,                 2.4771,                0.41338,                0.37307,                0.39493,                0.20236,                 1.2081,                 23.619,                 1.6815,              0.0001784,              0.0001784,              0.0001784
                     48,                 1.9793,                 2.3521,                 2.5357,                0.43833,                0.38235,                0.41148,                0.20378,                 1.2181,                 22.015,                   1.68,              0.0001388,              0.0001388,              0.0001388
                     49,                 1.9561,                 2.3681,                 2.5474,                0.45723,                0.38235,                0.42151,                0.20876,                 1.2159,                 21.555,                  1.679,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 1.8771,                 2.2989,                 2.4758,                0.47902,                0.40686,                0.43107,                0.21309,                 1.2122,                 21.098,                 1.6748,               5.96e-05,               5.96e-05,               5.96e-05
