epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3501,0.84913,1.5715,1.59202,0.94435,0.93528,0.9861,0.90307,0.41196,0.56061,1.11158,0.000549352,0.000549352,0.000549352
2,40.6698,0.53967,0.57365,1.30403,0.98244,0.99207,0.99143,0.94288,0.34649,0.35628,1.08961,0.00109408,0.00109408,0.00109408
3,54.5949,0.51176,0.47326,1.28638,0.99541,0.99607,0.99493,0.95315,0.3267,0.31013,1.16317,0.0016278,0.0016278,0.0016278
4,67.9419,0.48065,0.42321,1.26826,0.98848,0.99651,0.99418,0.97149,0.28829,0.27669,1.09044,0.00161749,0.00161749,0.00161749
5,85.7894,0.46123,0.40529,1.25411,0.92213,0.93029,0.96865,0.92828,0.32549,0.40136,1.10013,0.00160099,0.00160099,0.00160099
6,104.428,0.44935,0.38523,1.26805,0.96604,0.9437,0.99114,0.97101,0.25776,0.30733,1.11993,0.00158448,0.00158448,0.00158448
7,118.117,0.42377,0.37171,1.24567,0.98968,0.99062,0.99401,0.97538,0.25434,0.25354,1.09029,0.00156798,0.00156798,0.00156798
8,130.646,0.41329,0.35626,1.23792,0.99079,0.99006,0.9946,0.98125,0.24255,0.23573,1.1151,0.00155148,0.00155148,0.00155148
9,147.431,0.4106,0.35344,1.23938,0.99971,1,0.995,0.98547,0.24706,0.22617,1.09148,0.00153497,0.00153497,0.00153497
10,168.91,0.39743,0.3365,1.22923,0.96283,0.93498,0.9892,0.97122,0.25673,0.29726,1.1206,0.00151847,0.00151847,0.00151847
11,182.305,0.39622,0.33047,1.2158,0.99663,0.99889,0.995,0.98641,0.22693,0.21593,1.07526,0.00150197,0.00150197,0.00150197
12,195.221,0.37577,0.31566,1.21212,0.99967,0.99964,0.995,0.99049,0.21349,0.20421,1.1413,0.00148546,0.00148546,0.00148546
