epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,556.968,0.29798,0.24225,1.14301,0.99452,0.99742,0.995,0.99355,0.17074,0.15152,1.03694,0.000973861,0.000973861,0.000973861
44,570.073,0.29617,0.24124,1.15239,0.99956,1,0.995,0.9948,0.15772,0.14328,1.05069,0.000957358,0.000957358,0.000957358
45,582.578,0.28607,0.2365,1.13113,0.9999,1,0.995,0.9943,0.15048,0.14074,1.08776,0.000940855,0.000940855,0.000940855
46,595.234,0.28583,0.23432,1.12823,0.99987,1,0.995,0.99431,0.15189,0.14254,1.06531,0.000924352,0.000924352,0.000924352
47,607.74,0.29558,0.24325,1.15193,0.99287,0.98996,0.99471,0.99404,0.17128,0.16387,1.07,0.000907848,0.000907848,0.000907848
48,620.188,0.29205,0.23688,1.14516,0.99988,1,0.995,0.99468,0.14902,0.13886,1.09032,0.000891345,0.000891345,0.000891345
49,632.77,0.27886,0.22761,1.13687,0.99989,1,0.995,0.99455,0.15567,0.14005,1.05787,0.000874842,0.000874842,0.000874842
50,645.138,0.28336,0.23231,1.13908,0.99982,1,0.995,0.99479,0.1534,0.14026,1.02806,0.000858338,0.000858338,0.000858338
51,657.873,0.28733,0.23326,1.14342,0.99989,1,0.995,0.99489,0.1604,0.13932,1.03804,0.000841835,0.000841835,0.000841835
52,670.453,0.28053,0.22974,1.13384,0.9999,1,0.995,0.99448,0.15617,0.13696,1.13889,0.000825332,0.000825332,0.000825332
53,683.621,0.27893,0.22725,1.13987,0.99983,0.99988,0.995,0.99458,0.1498,0.13476,1.05095,0.000808828,0.000808828,0.000808828
54,696.627,0.27534,0.22441,1.12454,0.99984,0.99954,0.995,0.99445,0.15087,0.13374,1.04532,0.000792325,0.000792325,0.000792325
55,708.964,0.27531,0.22531,1.13582,0.99987,1,0.995,0.99475,0.15791,0.1322,1.06788,0.000775822,0.000775822,0.000775822
56,721.812,0.28155,0.22574,1.14543,0.99988,1,0.995,0.99487,0.14961,0.13269,1.02597,0.000759318,0.000759318,0.000759318
57,734.491,0.2783,0.22566,1.13859,0.9999,1,0.995,0.9936,0.16095,0.13619,1.03048,0.000742815,0.000742815,0.000742815
58,747.371,0.27832,0.22476,1.14238,0.99949,0.99986,0.995,0.99472,0.14043,0.1329,1.0118,0.000726312,0.000726312,0.000726312
59,760.015,0.2733,0.22472,1.12447,0.99928,1,0.995,0.99479,0.13929,0.12965,1.025,0.000709809,0.000709809,0.000709809
60,772.636,0.27223,0.22275,1.13141,0.99936,1,0.995,0.99494,0.14774,0.13397,1.05614,0.000693305,0.000693305,0.000693305
61,785.399,0.27195,0.22163,1.13066,0.99973,0.99958,0.995,0.99475,0.14833,0.13172,1.0285,0.000676802,0.000676802,0.000676802
62,798.067,0.26909,0.21861,1.1334,0.99986,1,0.995,0.99453,0.14153,0.13015,1.05804,0.000660299,0.000660299,0.000660299
63,810.754,0.27063,0.2203,1.12741,0.99971,1,0.995,0.99495,0.14588,0.13012,1.01986,0.000643795,0.000643795,0.000643795
64,823.727,0.2739,0.22065,1.13511,0.99989,1,0.995,0.99488,0.13726,0.13173,1.05299,0.000627292,0.000627292,0.000627292
65,836.423,0.2642,0.21461,1.12504,0.99939,1,0.995,0.9948,0.13879,0.12729,1.02455,0.000610789,0.000610789,0.000610789
66,849.171,0.27069,0.21847,1.13078,0.9999,1,0.995,0.99492,0.14316,0.12567,1.01922,0.000594286,0.000594286,0.000594286
67,861.796,0.26308,0.21519,1.12314,0.99946,0.99899,0.995,0.99483,0.14256,0.12851,1.04676,0.000577782,0.000577782,0.000577782
68,874.492,0.25976,0.21354,1.12443,0.99989,1,0.995,0.99465,0.14334,0.12419,1.03995,0.000561279,0.000561279,0.000561279
69,887.322,0.2639,0.21556,1.12917,0.9999,1,0.995,0.99489,0.13943,0.12277,1.0681,0.000544776,0.000544776,0.000544776
70,900.09,0.25897,0.2115,1.12166,0.99988,1,0.995,0.99483,0.13648,0.12674,0.99854,0.000528272,0.000528272,0.000528272
71,912.836,0.25984,0.21259,1.12404,0.99989,1,0.995,0.99481,0.13823,0.12116,1.02735,0.000511769,0.000511769,0.000511769
72,925.547,0.25622,0.21097,1.12013,0.9999,1,0.995,0.99476,0.13136,0.11918,1.01374,0.000495266,0.000495266,0.000495266
73,937.886,0.2564,0.2093,1.11952,0.9999,1,0.995,0.99481,0.13413,0.12421,1.01871,0.000478762,0.000478762,0.000478762
74,950.483,0.25508,0.20724,1.11396,0.99989,1,0.995,0.99476,0.13571,0.121,1.00369,0.000462259,0.000462259,0.000462259
75,963.521,0.25768,0.20824,1.11733,0.9999,1,0.995,0.99495,0.13335,0.12133,1.00265,0.000445756,0.000445756,0.000445756
76,975.703,0.25506,0.20708,1.11623,0.99989,1,0.995,0.99486,0.13148,0.11992,1.00304,0.000429253,0.000429253,0.000429253
77,988.478,0.25238,0.20622,1.11637,0.9998,1,0.995,0.99461,0.13853,0.11764,1.02044,0.000412749,0.000412749,0.000412749
78,1001.41,0.24757,0.20258,1.11621,0.99903,0.9992,0.995,0.99494,0.13233,0.12057,1.03527,0.000396246,0.000396246,0.000396246
79,1014.49,0.25434,0.20565,1.11967,0.99989,1,0.995,0.99496,0.12353,0.11534,1.0062,0.000379743,0.000379743,0.000379743
80,1027.5,0.2468,0.20095,1.10619,0.99979,1,0.995,0.99486,0.12908,0.11751,1.03347,0.000363239,0.000363239,0.000363239
81,1040.34,0.24812,0.20132,1.11097,0.9999,1,0.995,0.99485,0.13367,0.11675,1.00644,0.000346736,0.000346736,0.000346736
82,1053.03,0.24706,0.20198,1.11446,0.99983,1,0.995,0.99499,0.12941,0.11412,1.00923,0.000330233,0.000330233,0.000330233
83,1066,0.25001,0.20159,1.10821,0.99988,1,0.995,0.99497,0.12706,0.11472,1.11066,0.000313729,0.000313729,0.000313729
84,1078.77,0.2391,0.19508,1.1,0.99987,1,0.995,0.99498,0.13085,0.11696,1.04261,0.000297226,0.000297226,0.000297226
85,1091.41,0.25138,0.2019,1.11925,0.99989,1,0.995,0.99495,0.12847,0.11659,1.016,0.000280723,0.000280723,0.000280723
