                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2881,                 3.8299,                 4.2767,                0.00415,                0.26471,                0.00286,                0.00063,                 3.2452,                 3.7831,                 4.1588,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.3633,                 3.8117,                 4.2433,                0.00431,                0.27941,                0.00338,                 0.0007,                 3.2444,                 3.7828,                 4.1584,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 3.1742,                 3.7887,                 4.2495,                 0.0042,                0.26471,                0.00311,                0.00069,                 3.2435,                 3.7833,                 4.1579,             0.00012832,             0.00012832,             0.00012832
                      4,                 3.4349,                 3.7366,                 4.2181,                0.00437,                0.27941,                0.00337,                0.00069,                 3.2422,                  3.784,                 4.1573,             0.00015466,             0.00015466,             0.00015466
                      5,                 3.3381,                 3.6271,                 4.1977,                0.00411,                 0.2598,                0.00342,                0.00075,                 3.2407,                 3.7849,                 4.1566,             0.00016912,             0.00016912,             0.00016912
                      6,                 3.3048,                 3.6333,                 4.1695,                0.00443,                0.27451,                0.00337,                0.00074,                 3.2397,                 3.7855,                 4.1562,              0.0001717,              0.0001717,              0.0001717
                      7,                 3.1306,                 3.5911,                 4.1473,                 0.0043,                0.26961,                0.00314,                0.00074,                 3.2379,                 3.7865,                 4.1556,              0.0001624,              0.0001624,              0.0001624
                      8,                 3.2319,                 3.5724,                 4.1739,                0.00436,                0.26961,                0.00305,                0.00071,                  3.237,                 3.7873,                 4.1555,             0.00014122,             0.00014122,             0.00014122
                      9,                 3.2441,                 3.5387,                 4.1452,                0.00428,                0.26471,                0.00328,                0.00074,                 3.2354,                 3.7883,                 4.1552,             0.00010816,             0.00010816,             0.00010816
                     10,                  3.221,                 3.4389,                 4.1308,                0.00427,                0.26471,                0.00311,                0.00073,                 3.2346,                 3.7889,                  4.155,              6.322e-05,              6.322e-05,              6.322e-05
