                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0618,                0.94946,                 1.5462,                0.79669,                    0.8,                 0.8763,                0.63911,                 1.0042,                0.87673,                 1.4666,              0.0015512,              0.0015512,              0.0015512
                     36,                 1.0503,                0.93994,                 1.5417,                0.78369,                0.83667,                0.83904,                0.60789,                 1.0159,                 0.8386,                 1.4869,               0.001538,               0.001538,               0.001538
                     37,                  1.058,                0.92587,                 1.5198,                 0.7774,                0.83819,                0.85656,                0.62827,                 1.0664,                0.83599,                 1.5351,              0.0015248,              0.0015248,              0.0015248
                     38,                 1.0654,                0.90875,                 1.5273,                0.76551,                0.83333,                0.86504,                0.63808,                0.98638,                0.80597,                 1.4554,              0.0015116,              0.0015116,              0.0015116
                     39,                  1.039,                0.92088,                 1.5122,                0.74937,                   0.84,                0.86625,                0.64469,                  1.003,                0.80114,                 1.4564,              0.0014984,              0.0014984,              0.0014984
                     40,                  1.032,                0.87405,                 1.5051,                0.77586,                   0.86,                0.85408,                0.62837,                 1.0134,                0.78061,                  1.479,              0.0014852,              0.0014852,              0.0014852
                     41,                 1.0299,                0.87906,                 1.5022,                0.75339,                0.81667,                0.83324,                0.62316,                 1.0089,                0.86439,                 1.4788,               0.001472,               0.001472,               0.001472
                     42,                 1.0395,                0.91454,                 1.5114,                0.77456,                0.83333,                0.87018,                0.63074,                 1.0314,                0.81944,                 1.4813,              0.0014588,              0.0014588,              0.0014588
                     43,                 1.0204,                0.90615,                  1.502,                0.76991,                 0.8923,                0.87359,                0.63208,                 1.0259,                0.75818,                 1.4861,              0.0014456,              0.0014456,              0.0014456
                     44,                 1.0303,                0.88097,                 1.5043,                0.77581,                   0.82,                0.84646,                0.60564,                  1.045,                0.80837,                 1.4848,              0.0014324,              0.0014324,              0.0014324
                     45,                  1.046,                0.91101,                 1.5071,                0.74906,                0.80333,                 0.8218,                0.59593,                 1.0563,                 0.9212,                 1.5191,              0.0014192,              0.0014192,              0.0014192
                     46,                 1.0365,                 0.8863,                  1.514,                0.74485,                0.89333,                 0.8542,                0.60849,                 1.0817,                0.79508,                 1.5045,               0.001406,               0.001406,               0.001406
                     47,                 1.0386,                0.88187,                 1.5189,                0.78165,                0.84722,                0.85796,                0.62401,                 1.0091,                 0.7776,                 1.4713,              0.0013928,              0.0013928,              0.0013928
                     48,                 1.0197,                0.89901,                 1.5026,                0.77439,                0.84667,                0.85344,                0.63783,                0.95597,                0.74695,                 1.4271,              0.0013796,              0.0013796,              0.0013796
                     49,                 1.0128,                0.86646,                 1.4846,                0.81354,                0.82667,                0.88396,                0.65742,                0.96387,                0.75347,                 1.4134,              0.0013664,              0.0013664,              0.0013664
