                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2746,                 4.3382,                 4.2875,                0.00293,                0.52381,                0.00497,                0.00123,                 3.1871,                 4.1815,                 4.1588,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.3065,                 4.2939,                 4.2497,                0.00307,                0.54762,                0.00501,                0.00125,                 3.1866,                 4.1812,                 4.1586,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 3.2195,                 4.2657,                 4.2275,                0.00293,                0.52381,                0.00682,                 0.0018,                 3.1859,                 4.1812,                 4.1584,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 3.2796,                 4.4483,                 4.3156,                0.00293,                0.52381,                0.00687,                0.00225,                 3.1852,                 4.1815,                 4.1581,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 3.0936,                 4.2614,                  4.325,                0.00293,                0.52381,                0.00566,                0.00162,                 3.1845,                 4.1819,                 4.1579,             0.00010872,             0.00010872,             0.00010872
                      6,                 3.0761,                 4.3119,                 4.2488,                0.00267,                0.47619,                0.00514,                 0.0018,                 3.1828,                 4.1837,                 4.1577,              0.0001111,              0.0001111,              0.0001111
                      7,                 3.0794,                  4.223,                 4.2115,                 0.0028,                    0.5,                0.00567,                0.00192,                 3.1821,                 4.1839,                 4.1574,             0.00010556,             0.00010556,             0.00010556
                      8,                  3.261,                 4.7083,                 4.3014,                0.00293,                0.52381,                0.00622,                0.00246,                 3.1814,                 4.1842,                 4.1573,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 3.1165,                 3.9267,                 4.2339,                0.00267,                0.47619,                0.00555,                0.00202,                 3.1812,                 4.1844,                 4.1572,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 3.2788,                 4.4433,                 4.2357,                0.00267,                0.47619,                0.00462,                0.00162,                 3.1807,                 4.1849,                 4.1572,              4.142e-05,              4.142e-05,              4.142e-05
