                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72865,                0.67578,                 1.8629,                0.93242,                0.91597,                 0.9678,                0.87574,                 0.4753,                0.42661,                 1.7123,              0.0010894,              0.0010894,              0.0010894
                     37,                0.75466,                0.66514,                 1.8801,                0.87854,                0.92169,                0.96087,                0.86127,                0.51588,                0.46935,                 1.7304,              0.0010729,              0.0010729,              0.0010729
                     38,                0.74544,                0.67264,                 1.9014,                0.92861,                0.87584,                  0.966,                0.87976,                0.47683,                 0.4379,                 1.7653,              0.0010564,              0.0010564,              0.0010564
                     39,                0.73988,                0.66287,                 1.8889,                0.88904,                0.90833,                0.95404,                0.86469,                0.46723,                0.48482,                 1.7471,              0.0010399,              0.0010399,              0.0010399
                     40,                0.72828,                0.64861,                 1.8667,                0.89401,                0.92436,                0.96369,                0.86469,                0.50116,                0.44205,                 1.7523,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.7326,                0.64473,                 1.8644,                0.86296,                0.90118,                0.93416,                 0.8346,                 0.5392,                0.52489,                 1.8212,              0.0010069,              0.0010069,              0.0010069
                     42,                0.71933,                0.65552,                 1.8901,                0.87434,                0.89452,                0.94634,                0.86075,                0.46327,                0.49241,                 1.7841,             0.00099036,             0.00099036,             0.00099036
                     43,                0.72023,                0.64531,                 1.8633,                0.93274,                0.91204,                0.96516,                0.87399,                0.48962,                0.42872,                 1.7596,             0.00097386,             0.00097386,             0.00097386
                     44,                 0.7143,                0.62616,                 1.8679,                0.87506,                0.91327,                0.93174,                0.84738,                 0.4823,                0.53572,                 1.7301,             0.00095736,             0.00095736,             0.00095736
                     45,                0.71043,                0.65976,                 1.8791,                0.89476,                0.90186,                  0.968,                0.87911,                0.47083,                0.45659,                 1.7609,             0.00094085,             0.00094085,             0.00094085
                     46,                0.71295,                0.63668,                 1.8729,                0.91906,                0.90671,                0.95793,                0.88154,                 0.4424,                0.41773,                 1.7229,             0.00092435,             0.00092435,             0.00092435
                     47,                0.70189,                 0.6236,                 1.8452,                0.88426,                0.92454,                0.95153,                0.86877,                 0.4485,                0.47354,                 1.7109,             0.00090785,             0.00090785,             0.00090785
                     48,                0.70502,                0.61562,                 1.8787,                0.90133,                0.91031,                0.96399,                0.88294,                0.45179,                0.44177,                  1.732,             0.00089134,             0.00089134,             0.00089134
                     49,                0.69956,                0.62287,                 1.8593,                0.88933,                0.90373,                0.95904,                0.87175,                0.47358,                0.47095,                 1.7072,             0.00087484,             0.00087484,             0.00087484
                     50,                0.68456,                0.63011,                 1.8343,                0.92986,                 0.9034,                0.96989,                0.88136,                0.47613,                0.41674,                  1.755,             0.00085834,             0.00085834,             0.00085834
                     51,                0.71157,                0.62929,                  1.856,                0.88273,                0.93933,                0.96782,                 0.8829,                0.46434,                0.44079,                 1.7205,             0.00084184,             0.00084184,             0.00084184
                     52,                0.70163,                0.63389,                 1.8618,                0.88894,                0.93363,                0.95809,                0.87447,                0.46033,                0.43481,                 1.7195,             0.00082533,             0.00082533,             0.00082533
                     53,                0.70319,                 0.6033,                 1.8657,                0.92909,                0.91841,                0.97098,                0.87762,                0.49097,                0.41072,                 1.7075,             0.00080883,             0.00080883,             0.00080883
                     54,                0.69565,                0.61105,                 1.8499,                0.93579,                0.90843,                0.96539,                 0.8838,                0.45519,                0.40665,                  1.702,             0.00079233,             0.00079233,             0.00079233
                     55,                0.69818,                0.61738,                 1.8591,                0.90812,                0.93206,                0.96447,                0.88707,                0.43756,                0.41734,                 1.7197,             0.00077582,             0.00077582,             0.00077582
                     56,                0.69459,                0.61424,                 1.8316,                0.91067,                0.92473,                 0.9713,                0.89845,                0.44146,                0.39913,                 1.6921,             0.00075932,             0.00075932,             0.00075932
                     57,                0.68979,                0.59805,                 1.8502,                0.89411,                0.94146,                0.96964,                0.89319,                0.43304,                 0.3954,                 1.7058,             0.00074282,             0.00074282,             0.00074282
                     58,                0.68408,                0.59574,                 1.8297,                0.91847,                0.93034,                0.96645,                0.88486,                0.44525,                0.40375,                 1.6889,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.6911,                0.61024,                 1.8285,                0.87532,                0.93064,                0.95226,                0.87473,                0.41683,                0.45412,                 1.7193,             0.00070981,             0.00070981,             0.00070981
                     60,                0.68021,                0.60788,                 1.8323,                 0.8556,                0.94729,                0.95056,                 0.8674,                0.46221,                0.44667,                  1.706,             0.00069331,             0.00069331,             0.00069331
                     61,                0.67511,                0.57767,                 1.8146,                0.91668,                0.91861,                0.95904,                0.87618,                 0.4452,                0.41038,                 1.6724,              0.0006768,              0.0006768,              0.0006768
                     62,                0.69485,                0.59362,                 1.8494,                0.92539,                0.92207,                0.96553,                0.88862,                0.43452,                0.38703,                 1.6847,              0.0006603,              0.0006603,              0.0006603
                     63,                0.67202,                0.59762,                 1.8288,                 0.8592,                0.91244,                0.95486,                0.87527,                0.43221,                0.48966,                 1.6796,              0.0006438,              0.0006438,              0.0006438
                     64,                0.69053,                 0.5956,                 1.8455,                0.89766,                0.93181,                0.96233,                 0.8875,                0.43005,                 0.4051,                 1.6652,             0.00062729,             0.00062729,             0.00062729
                     65,                0.66918,                0.58986,                  1.834,                 0.9146,                0.93908,                0.95578,                0.87946,                0.43076,                0.40294,                 1.6673,             0.00061079,             0.00061079,             0.00061079
                     66,                0.67466,                0.58712,                 1.8208,                0.87954,                0.92094,                0.95353,                0.87876,                0.43943,                0.45291,                  1.679,             0.00059429,             0.00059429,             0.00059429
                     67,                0.66359,                0.55941,                 1.8119,                0.92178,                0.93185,                0.96616,                0.89811,                0.41298,                0.38792,                 1.6874,             0.00057778,             0.00057778,             0.00057778
                     68,                0.67718,                0.56368,                 1.8225,                0.91918,                0.90663,                0.96226,                0.88353,                0.45838,                0.41516,                 1.6877,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.6706,                0.56807,                  1.842,                0.93112,                0.93377,                0.96826,                 0.8945,                0.43617,                0.39312,                 1.6882,             0.00054478,             0.00054478,             0.00054478
                     70,                0.65438,                0.55617,                 1.8089,                0.92606,                0.93562,                0.96838,                0.90345,                0.40844,                0.37858,                 1.6641,             0.00052827,             0.00052827,             0.00052827
                     71,                0.65591,                0.55402,                 1.8172,                0.92627,                0.91564,                0.96125,                0.88841,                0.41959,                0.40263,                 1.6795,             0.00051177,             0.00051177,             0.00051177
                     72,                0.67215,                0.57187,                 1.8065,                0.89168,                0.93676,                0.96186,                0.88705,                0.42684,                0.41457,                 1.6538,             0.00049527,             0.00049527,             0.00049527
                     73,                0.66581,                0.56905,                 1.8337,                0.88882,                0.95157,                0.96694,                0.89247,                0.42307,                0.40238,                  1.667,             0.00047876,             0.00047876,             0.00047876
                     74,                0.65227,                0.55448,                 1.8053,                0.90852,                0.93616,                0.96571,                0.89643,                0.40747,                0.39515,                 1.6632,             0.00046226,             0.00046226,             0.00046226
                     75,                0.64569,                0.53845,                 1.8048,                0.91878,                 0.9163,                0.96393,                0.89398,                0.41527,                0.40817,                 1.6561,             0.00044576,             0.00044576,             0.00044576
                     76,                0.63892,                0.54222,                 1.7758,                0.91994,                0.93389,                  0.962,                0.88576,                0.43299,                0.39836,                  1.694,             0.00042925,             0.00042925,             0.00042925
                     77,                0.64073,                0.54673,                  1.782,                0.92886,                 0.9278,                0.96073,                0.89558,                0.42187,                0.39229,                 1.6566,             0.00041275,             0.00041275,             0.00041275
                     78,                0.63238,                0.54594,                 1.7752,                0.92633,                0.92821,                0.95701,                0.88524,                  0.421,                0.39181,                 1.6711,             0.00039625,             0.00039625,             0.00039625
                     79,                0.64475,                0.53365,                 1.8171,                0.92458,                0.92673,                0.95577,                0.88583,                0.41953,                0.39536,                 1.6741,             0.00037974,             0.00037974,             0.00037974
                     80,                0.64786,                0.52317,                 1.8006,                0.92398,                0.91612,                 0.9588,                0.88146,                0.43515,                0.41222,                 1.6595,             0.00036324,             0.00036324,             0.00036324
