epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.116,0.84913,1.5715,1.59202,0.94435,0.93528,0.9861,0.90307,0.41196,0.56061,1.11158,0.000549352,0.000549352,0.000549352
2,23.7915,0.53967,0.57365,1.30403,0.98244,0.99207,0.99143,0.94288,0.34649,0.35628,1.08961,0.00109408,0.00109408,0.00109408
3,33.4817,0.51176,0.47326,1.28638,0.99541,0.99607,0.99493,0.95315,0.3267,0.31013,1.16317,0.0016278,0.0016278,0.0016278
4,42.7026,0.48065,0.42321,1.26826,0.98848,0.99651,0.99418,0.97149,0.28829,0.27669,1.09044,0.00161749,0.00161749,0.00161749
5,51.7927,0.46123,0.40529,1.25411,0.92213,0.93029,0.96865,0.92828,0.32549,0.40136,1.10013,0.00160099,0.00160099,0.00160099
6,61.0107,0.44935,0.38523,1.26805,0.96604,0.9437,0.99114,0.97101,0.25776,0.30733,1.11993,0.00158448,0.00158448,0.00158448
7,70.2795,0.42377,0.37171,1.24567,0.98968,0.99062,0.99401,0.97538,0.25434,0.25354,1.09029,0.00156798,0.00156798,0.00156798
8,79.6379,0.41329,0.35626,1.23792,0.99079,0.99006,0.9946,0.98125,0.24255,0.23573,1.1151,0.00155148,0.00155148,0.00155148
9,88.6524,0.4106,0.35344,1.23938,0.99971,1,0.995,0.98547,0.24706,0.22617,1.09148,0.00153497,0.00153497,0.00153497
10,97.855,0.39743,0.3365,1.22923,0.96283,0.93498,0.9892,0.97122,0.25673,0.29726,1.1206,0.00151847,0.00151847,0.00151847
11,106.837,0.39622,0.33047,1.2158,0.99663,0.99889,0.995,0.98641,0.22693,0.21593,1.07526,0.00150197,0.00150197,0.00150197
12,116.004,0.37577,0.31566,1.21212,0.99967,0.99964,0.995,0.99049,0.21349,0.20421,1.1413,0.00148546,0.00148546,0.00148546
13,124.959,0.37739,0.3188,1.21399,0.99057,0.98216,0.99297,0.98507,0.2287,0.22255,1.05405,0.00146896,0.00146896,0.00146896
14,134.177,0.37609,0.31598,1.21469,0.99782,0.99598,0.9949,0.98939,0.20444,0.19866,1.06973,0.00145246,0.00145246,0.00145246
15,143.594,0.36484,0.30662,1.20619,0.99761,0.99914,0.995,0.9907,0.19866,0.18786,1.09216,0.00143595,0.00143595,0.00143595
16,152.935,0.36732,0.3079,1.20196,0.99906,0.99925,0.995,0.98942,0.21754,0.19515,1.05097,0.00141945,0.00141945,0.00141945
17,162.126,0.3537,0.29988,1.19156,0.99828,0.99985,0.99497,0.98974,0.20548,0.19158,1.07964,0.00140295,0.00140295,0.00140295
18,171.348,0.35135,0.29558,1.19683,0.98684,0.98033,0.99478,0.99104,0.21339,0.21913,1.08603,0.00138644,0.00138644,0.00138644
19,180.67,0.35576,0.29868,1.19267,0.98232,0.99194,0.99461,0.98887,0.19771,0.20142,1.06085,0.00136994,0.00136994,0.00136994
20,189.997,0.34454,0.2895,1.18897,0.99982,1,0.995,0.99235,0.191,0.18091,1.06922,0.00135344,0.00135344,0.00135344
21,199.164,0.34569,0.28956,1.1846,0.99974,1,0.995,0.9941,0.17789,0.17471,1.05637,0.00133693,0.00133693,0.00133693
22,208.49,0.34225,0.2857,1.19086,0.99934,0.99857,0.995,0.99288,0.17958,0.17045,1.05391,0.00132043,0.00132043,0.00132043
23,218.113,0.34,0.28365,1.18638,0.99948,1,0.995,0.99169,0.18925,0.17676,1.10056,0.00130393,0.00130393,0.00130393
